ENSEMBL Gene ID,Entrez ID,Gene Symbol,isGlycogene
ENSG00000162592,148870,CCDC27,No
ENSG00000235169,388588,SMIM1,No
ENSG00000130764,57470,LRRC47,No
ENSG00000116198,9731,CEP104,No
ENSG00000169598,1677,DFFB,No
ENSG00000198912,339448,C1orf174,No
ENSG00000196581,55966,AJAP1,No
ENSG00000131697,261734,NPHP4,No
ENSG00000069424,8514,KCNAB2,No
ENSG00000116254,26038,CHD5,No
ENSG00000285629,,RP1-120G22.12,No
ENSG00000116251,6146,RPL22,No
ENSG00000158286,388591,RNF207,No
ENSG00000116237,23463,ICMT,No
ENSG00000173673,390992,HES3,No
ENSG00000158292,387509,GPR153,No
ENSG00000097021,11332,ACOT7,No
ENSG00000069812,54626,HES2,No
ENSG00000187017,83715,ESPN,No
ENSG00000215788,8718,TNFRSF25,No
ENSG00000171680,57449,PLEKHG5,No
ENSG00000162408,79707,NOL9,No
ENSG00000173662,80835,TAS1R1,No
ENSG00000204859,3104,ZBTB48,No
ENSG00000162413,9903,KLHL21,No
ENSG00000116273,148479,PHF13,No
ENSG00000041988,90326,THAP3,No
ENSG00000007923,55735,DNAJC11,No
ENSG00000171735,23261,CAMTA1,No
ENSG00000049245,9341,VAMP3,No
ENSG00000049246,8863,PER3,No
ENSG00000049247,10911,UTS2,No
ENSG00000049249,3604,TNFRSF9,No
ENSG00000116288,11315,PARK7,No
ENSG00000116285,54206,ERRFI1,No
ENSG00000162426,50651,SLC45A1,No
ENSG00000142599,473,RERE,No
ENSG00000074800,2023,ENO1,No
ENSG00000131686,765,CA6,No
ENSG00000197241,155184,SLC2A7,No
ENSG00000142583,6518,SLC2A5,Yes
ENSG00000180758,80045,GPR157,No
ENSG00000049239,9563,H6PD,No
ENSG00000171621,80176,SPSB1,No
ENSG00000171612,84275,SLC25A33,No
ENSG00000188807,199953,TMEM201,No
ENSG00000171608,5293,PIK3CD,No
ENSG00000171603,22883,CLSTN1,No
ENSG00000178585,56998,CTNNBIP1,No
ENSG00000162441,84328,LZIC,No
ENSG00000173614,64802,NMNAT1,No
ENSG00000162444,116362,RBP7,No
ENSG00000130939,10277,UBE4B,No
ENSG00000054523,23095,KIF1B,No
ENSG00000142657,5226,PGD,No
ENSG00000251503,100526739,CENPS-CORT,No
ENSG00000175279,378708,CENPS,No
ENSG00000241563,1325,CORT,No
ENSG00000160049,1676,DFFA,No
ENSG00000142655,5195,PEX14,No
ENSG00000130940,54897,CASZ1,No
ENSG00000175262,148345,C1orf127,No
ENSG00000120948,23435,TARDBP,No
ENSG00000009724,10747,MASP2,No
ENSG00000116649,6723,SRM,No
ENSG00000171824,5394,EXOSC10,No
ENSG00000198793,2475,MTOR,No
ENSG00000171819,10218,ANGPTL7,No
ENSG00000120942,29914,UBIAD1,No
ENSG00000204624,57540,DISP3,No
ENSG00000116661,26232,FBXO2,No
ENSG00000132879,93611,FBXO44,No
ENSG00000116663,26270,FBXO6,No
ENSG00000116670,10459,MAD2L2,No
ENSG00000162490,374946,DRAXIN,No
ENSG00000177674,57085,AGTRAP,No
ENSG00000215910,284498,C1orf167,No
ENSG00000177000,4524,MTHFR,No
ENSG00000011021,1185,CLCN6,No
ENSG00000175206,4878,NPPA,No
ENSG00000120937,4879,NPPB,No
ENSG00000116685,90231,KIAA2013,No
ENSG00000083444,5351,PLOD1,Yes
ENSG00000116688,9927,MFN2,No
ENSG00000116691,60672,MIIP,No
ENSG00000120949,943,TNFRSF8,No
ENSG00000028137,7133,TNFRSF1B,No
ENSG00000048707,55187,VPS13D,No
ENSG00000162496,9249,DHRS3,No
ENSG00000204518,343066,AADACL4,No
ENSG00000188984,126767,AADACL3,No
ENSG00000157330,93190,C1orf158,No
ENSG00000116726,390999,PRAMEF12,No
ENSG00000116721,65121,PRAMEF1,No
ENSG00000239810,440560,PRAMEF11,No
ENSG00000179172,343069,HNRNPCL1,No
ENSG00000120952,65122,PRAMEF2,No
ENSG00000243073,400735,PRAMEF4,No
ENSG00000187545,343071,PRAMEF10,No
ENSG00000204510,441871,PRAMEF7,No
ENSG00000232423,440561,PRAMEF6,No
ENSG00000274764,101929983,PRAMEF27,No
ENSG00000277058,649330,HNRNPCL3,No
ENSG00000229571,441873,PRAMEF25,No
ENSG00000275774,440563,HNRNPCL2,No
ENSG00000280267,645359,PRAMEF26,No
ENSG00000179412,101060301,HNRNPCL4,No
ENSG00000204505,343070,PRAMEF9,No
ENSG00000279169,400736,PRAMEF13,No
ENSG00000279804,391003,PRAMEF18,No
ENSG00000270601,343068,PRAMEF5,No
ENSG00000182330,391002,PRAMEF8,No
ENSG00000237700,645382,PRAMEF33,No
ENSG00000204501,653619,PRAMEF15,No
ENSG00000204481,729528,PRAMEF14,No
ENSG00000204480,645414,PRAMEF19,No
ENSG00000204479,391004,PRAMEF17,No
ENSG00000204478,645425,PRAMEF20,No
ENSG00000162494,126755,LRRC38,No
ENSG00000162493,10630,PDPN,No
ENSG00000116731,7799,PRDM2,No
ENSG00000189337,23254,KAZN,No
ENSG00000171729,55092,TMEM51,No
ENSG00000142621,114827,FHAD1,No
ENSG00000142634,79180,EFHD2,No
ENSG00000162438,11330,CTRC,No
ENSG00000142615,63036,CELA2A,No
ENSG00000215704,51032,CELA2B,No
ENSG00000132906,842,CASP9,No
ENSG00000116138,23341,DNAJC16,No
ENSG00000116771,79814,AGMAT,No
ENSG00000197312,84301,DDI2,No
ENSG00000215695,6248,RSC1A1,No
ENSG00000116786,23207,PLEKHM2,No
ENSG00000162461,284723,SLC25A34,No
ENSG00000162460,388595,TMEM82,No
ENSG00000162458,54751,FBLIM1,No
ENSG00000233954,440567,UQCRHL,No
ENSG00000065526,23013,SPEN,No
ENSG00000116809,7709,ZBTB17,No
ENSG00000183888,149563,SRARP,No
ENSG00000173641,27129,HSPB7,No
ENSG00000186510,1187,CLCNKA,No
ENSG00000184908,1188,CLCNKB,No
ENSG00000185519,348487,FAM131C,No
ENSG00000142627,1969,EPHA2,No
ENSG00000142632,128272,ARHGEF19,No
ENSG00000132881,79363,CPLANE2,No
ENSG00000037637,54455,FBXO42,No
ENSG00000055070,26099,SZRD1,No
ENSG00000187144,374955,SPATA21,No
ENSG00000157191,55707,NECAP2,No
ENSG00000219481,55672,NBPF1,No
ENSG00000058453,9696,CROCC,No
ENSG00000117122,4237,MFAP2,No
ENSG00000159363,23400,ATP13A2,No
ENSG00000117118,6390,SDHB,No
ENSG00000117115,11240,PADI2,No
ENSG00000142623,29943,PADI1,No
ENSG00000142619,51702,PADI3,No
ENSG00000159339,23569,PADI4,No
ENSG00000276747,353238,PADI6,No
ENSG00000179051,55920,RCC2,No
ENSG00000074964,55160,ARHGEF10L,No
ENSG00000117148,81569,ACTL8,No
ENSG00000117154,84966,IGSF21,No
ENSG00000179023,127707,KLHDC7A,No
ENSG00000009709,5081,PAX7,No
ENSG00000179002,80834,TAS1R2,No
ENSG00000159423,8659,ALDH4A1,No
ENSG00000169991,126917,IFFO2,No
ENSG00000127481,23352,UBR4,No
ENSG00000127463,23065,EMC1,No
ENSG00000053372,51154,MRTO4,No
ENSG00000211454,246181,AKR7L,No
ENSG00000162482,22977,AKR7A3,No
ENSG00000053371,8574,AKR7A2,No
ENSG00000040487,54896,SLC66A1,No
ENSG00000077549,832,CAPZB,No
ENSG00000173436,440574,MICOS10,No
ENSG00000158747,4681,NBL1,No
ENSG00000270136,,MICOS10-NBL1,No
ENSG00000158748,3362,HTR6,No
ENSG00000162542,255104,TMCO4,No
ENSG00000178828,54546,RNF186,No
ENSG00000169914,23252,OTUD3,No
ENSG00000188784,30814,PLA2G2E,No
ENSG00000188257,5320,PLA2G2A,No
ENSG00000127472,5322,PLA2G5,No
ENSG00000117215,26279,PLA2G2D,No
ENSG00000158786,64600,PLA2G2F,No
ENSG00000187980,391013,PLA2G2C,No
ENSG00000162543,127733,UBXN10,No
ENSG00000158816,127731,VWA5B1,No
ENSG00000162545,55450,CAMK2N1,No
ENSG00000090432,79594,MUL1,No
ENSG00000183114,163933,FAM43B,No
ENSG00000158825,978,CDA,No
ENSG00000158828,65018,PINK1,No
ENSG00000244038,1650,DDOST,Yes
ENSG00000117245,57576,KIF17,No
ENSG00000189410,400745,SH2D5,No
ENSG00000127483,50809,HP1BP3,No
ENSG00000075151,8672,EIF4G3,No
ENSG00000117298,1889,ECE1,No
ENSG00000142794,84224,NBPF3,No
ENSG00000162551,249,ALPL,No
ENSG00000076864,5909,RAP1GAP,No
ENSG00000090686,84196,USP48,No
ENSG00000187942,401944,LDLRAD2,No
ENSG00000142798,3339,HSPG2,No
ENSG00000219073,23436,CELA3B,No
ENSG00000142789,10136,CELA3A,No
ENSG00000070831,998,CDC42,No
ENSG00000162552,54361,WNT4,No
ENSG00000184677,9923,ZBTB40,No
ENSG00000070886,2046,EPHA8,No
ENSG00000173372,712,C1QA,No
ENSG00000159189,714,C1QC,No
ENSG00000173369,713,C1QB,No
ENSG00000133216,2048,EPHB2,No
ENSG00000215906,646262,LACTBL1,No
ENSG00000227868,729059,TEX46,No
ENSG00000004487,23028,KDM1A,No
ENSG00000169641,7798,LUZP1,No
ENSG00000179546,3352,HTR1D,No
ENSG00000125944,10236,HNRNPR,No
ENSG00000125945,80818,ZNF436,No
ENSG00000204219,6920,TCEA3,No
ENSG00000088280,55616,ASAP3,No
ENSG00000007968,1870,E2F2,No
ENSG00000117318,3399,ID3,No
ENSG00000142676,6135,RPL11,No
ENSG00000011007,6924,ELOA,No
ENSG00000057757,57095,PITHD1,No
ENSG00000011009,11313,LYPLA2,No
ENSG00000117308,2582,GALE,Yes
ENSG00000117305,3155,HMGCL,No
ENSG00000179163,2517,FUCA1,Yes
ENSG00000188822,1269,CNR2,No
ENSG00000189266,55629,PNRC2,No
ENSG00000188529,10772,SRSF10,No
ENSG00000142661,127294,MYOM3,No
ENSG00000142677,58985,IL22RA1,No
ENSG00000185436,163702,IFNLR1,No
ENSG00000158055,57822,GRHL3,No
ENSG00000001460,90529,STPG1,No
ENSG00000001461,57185,NIPAL3,No
ENSG00000117602,11123,RCAN3,No
ENSG00000184454,400746,NCMAP,No
ENSG00000133226,10250,SRRM1,No
ENSG00000169504,25932,CLIC4,No
ENSG00000020633,864,RUNX3,No
ENSG00000117614,25949,SYF2,No
ENSG00000117616,57035,RSRP1,No
ENSG00000187010,6007,RHD,No
ENSG00000183726,23585,TMEM50A,No
ENSG00000188672,6006,RHCE,No
ENSG00000204178,55219,MACO1,No
ENSG00000157978,26119,LDLRAP1,No
ENSG00000117643,57134,MAN1C1,Yes
ENSG00000162430,57190,SELENON,No
ENSG00000255054,,RP1-317E23.6,No
ENSG00000117640,56181,MTFR1L,No
ENSG00000127423,79000,AUNIP,No
ENSG00000182749,164091,PAQR7,No
ENSG00000117632,3925,STMN1,No
ENSG00000158006,5051,PAFAH2,No
ENSG00000158008,2134,EXTL1,Yes
ENSG00000158014,7780,SLC30A2,No
ENSG00000158022,84676,TRIM63,No
ENSG00000175087,149420,PDIK1L,No
ENSG00000197245,79927,FAM110D,No
ENSG00000282872,110806296,C1orf232,No
ENSG00000236782,118568799,ZNF593OS,No
ENSG00000142684,51042,ZNF593,No
ENSG00000142675,10256,CNKSR1,No
ENSG00000188782,378807,CATSPER4,No
ENSG00000130695,64793,CEP85,No
ENSG00000142669,83442,SH3BGRL3,No
ENSG00000158062,91544,UBXN11,No
ENSG00000169442,1043,CD52,No
ENSG00000176092,55057,CRYBG2,No
ENSG00000176083,257101,ZNF683,No
ENSG00000131914,79727,LIN28A,No
ENSG00000117682,79947,DHDDS,No
ENSG00000198830,3151,HMGN2,No
ENSG00000117676,6195,RPS6KA1,No
ENSG00000117713,8289,ARID1A,No
ENSG00000060642,55650,PIGV,Yes
ENSG00000204160,84243,ZDHHC18,No
ENSG00000175793,2810,SFN,No
ENSG00000142751,54707,GPN2,No
ENSG00000198746,63906,GPATCH3,No
ENSG00000090273,10726,NUDC,No
ENSG00000131910,8431,NR0B2,No
ENSG00000175707,126695,KDF1,No
ENSG00000253368,388610,TRNP1,No
ENSG00000158246,115572,TENT5B,No
ENSG00000090020,6548,SLC9A1,No
ENSG00000142784,23038,WDTC1,No
ENSG00000186501,84065,TMEM222,No
ENSG00000142765,84958,SYTL1,No
ENSG00000142733,9064,MAP3K6,No
ENSG00000142748,8547,FCN3,No
ENSG00000174950,388611,CD164L2,No
ENSG00000181773,2827,GPR3,No
ENSG00000158195,10163,WASF2,No
ENSG00000126705,27245,AHDC1,No
ENSG00000000938,2268,FGR,No
ENSG00000126709,2537,IFI6,No
ENSG00000009780,199870,FAM76A,No
ENSG00000117758,23673,STX12,No
ENSG00000117751,5511,PPP1R8,No
ENSG00000130775,9473,THEMIS2,No
ENSG00000117748,6118,RPA2,No
ENSG00000130768,27293,SMPDL3B,No
ENSG00000158156,55113,XKR8,No
ENSG00000158161,2140,EYA3,No
ENSG00000169403,5724,PTAFR,No
ENSG00000126698,22826,DNAJC8,No
ENSG00000130770,93974,ATP5IF1,No
ENSG00000130766,83667,SESN2,No
ENSG00000130772,54797,MED18,No
ENSG00000204138,65979,PHACTR4,No
ENSG00000180198,1104,RCC1,No
ENSG00000180098,54952,TRNAU1AP,No
ENSG00000120656,6883,TAF12,No
ENSG00000188060,115273,RAB42,No
ENSG00000162419,10691,GMEB1,No
ENSG00000198492,51441,YTHDF2,No
ENSG00000116329,4985,OPRD1,No
ENSG00000159023,2035,EPB41,No
ENSG00000253304,399474,TMEM200B,No
ENSG00000116350,6429,SRSF4,No
ENSG00000116353,51102,MECR,No
ENSG00000060656,10076,PTPRU,No
ENSG00000162510,4146,MATN1,No
ENSG00000162511,7805,LAPTM5,No
ENSG00000162512,9672,SDC3,No
ENSG00000134644,9698,PUM1,No
ENSG00000084628,79570,NKAIN1,No
ENSG00000060688,9410,SNRNP40,No
ENSG00000121766,51538,ZCCHC17,No
ENSG00000121769,2170,FABP3,No
ENSG00000168528,347735,SERINC2,No
ENSG00000142910,64129,TINAGL1,No
ENSG00000121764,3061,HCRTR1,No
ENSG00000162517,553115,PEF1,No
ENSG00000084636,1307,COL16A1,No
ENSG00000121753,576,ADGRB2,No
ENSG00000134668,90853,SPOCD1,No
ENSG00000184007,8073,PTP4A2,No
ENSG00000121774,10657,KHDRBS1,No
ENSG00000121775,55116,TMEM39B,No
ENSG00000025800,23633,KPNA6,No
ENSG00000084652,200081,TXLNA,No
ENSG00000160050,79140,CCDC28B,No
ENSG00000160051,55721,IQCC,No
ENSG00000222046,149069,DCDC2B,No
ENSG00000160055,56063,TMEM234,No
ENSG00000084623,8668,EIF3I,No
ENSG00000183615,84734,FAM167B,No
ENSG00000182866,3932,LCK,No
ENSG00000116478,3065,HDAC1,No
ENSG00000175130,65108,MARCKSL1,No
ENSG00000162526,81629,TSSK3,No
ENSG00000225828,100128071,FAM229A,No
ENSG00000160058,55108,BSDC1,No
ENSG00000254553,,RP1-27O5.3,No
ENSG00000273274,728116,ZBTB8B,No
ENSG00000160062,653121,ZBTB8A,No
ENSG00000176261,339487,ZBTB8OS,No
ENSG00000162521,5928,RBBP4,No
ENSG00000162520,81493,SYNC,No
ENSG00000162522,57648,KIAA1522,No
ENSG00000134684,8565,YARS1,No
ENSG00000116497,64766,S100PBP,No
ENSG00000160097,252995,FNDC5,No
ENSG00000121905,3208,HPCA,No
ENSG00000121900,113452,TMEM54,No
ENSG00000116514,127544,RNF19B,No
ENSG00000004455,204,AK2,No
ENSG00000142920,113451,AZIN2,No
ENSG00000116525,55223,TRIM62,No
ENSG00000160094,149076,ZNF362,No
ENSG00000184389,127550,A3GALT2,Yes
ENSG00000134686,1912,PHC2,No
ENSG00000121903,7579,ZSCAN20,No
ENSG00000121904,114784,CSMD2,No
ENSG00000176256,127540,HMGB4,No
ENSG00000142698,84970,C1orf94,No
ENSG00000163866,113444,SMIM12,No
ENSG00000189280,2709,GJB5,No
ENSG00000189433,127534,GJB4,No
ENSG00000188910,2707,GJB3,No
ENSG00000187513,2701,GJA4,No
ENSG00000116544,58512,DLGAP3,No
ENSG00000284773,,RP11-244H3.5,No
ENSG00000271741,,RP11-244H3.4,No
ENSG00000243749,100506144,TMEM35B,No
ENSG00000163867,9204,ZMYM6,No
ENSG00000197056,79830,ZMYM1,No
ENSG00000116560,6421,SFPQ,No
ENSG00000146463,9202,ZMYM4,No
ENSG00000142687,79932,KIAA0319L,No
ENSG00000020129,23154,NCDN,No
ENSG00000116819,339488,TFAP2E,No
ENSG00000126067,5690,PSMB2,No
ENSG00000142686,127703,C1orf216,No
ENSG00000092853,63967,CLSPN,No
ENSG00000134698,192670,AGO4,No
ENSG00000092847,26523,AGO1,No
ENSG00000126070,192669,AGO3,No
ENSG00000092850,27285,TEKT2,No
ENSG00000116863,54936,ADPRS,No
ENSG00000171812,1296,COL8A2,No
ENSG00000054116,27095,TRAPPC3,No
ENSG00000116871,55700,MAP7D1,No
ENSG00000054118,9967,THRAP3,No
ENSG00000214193,79729,SH3D21,No
ENSG00000142694,55194,EVA1B,No
ENSG00000196182,83931,STK40,No
ENSG00000181817,84967,LSM10,No
ENSG00000116885,127700,OSCP1,No
ENSG00000116898,64960,MRPS15,No
ENSG00000119535,1441,CSF3R,No
ENSG00000163873,2899,GRIK3,No
ENSG00000163874,80149,ZC3H12A,No
ENSG00000163875,64769,MEAF6,No
ENSG00000163877,79753,SNIP1,No
ENSG00000163879,7802,DNALI1,No
ENSG00000134697,29889,GNL2,No
ENSG00000169218,284654,RSPO1,No
ENSG00000116922,54955,C1orf109,No
ENSG00000134690,55143,CDCA8,No
ENSG00000183317,284656,EPHA10,No
ENSG00000185090,149175,MANEAL,No
ENSG00000196449,79693,YRDC,No
ENSG00000197982,127687,C1orf122,No
ENSG00000188786,4520,MTF1,No
ENSG00000204084,3633,INPP5B,No
ENSG00000183431,10946,SF3A3,No
ENSG00000183386,2275,FHL3,No
ENSG00000183520,51118,UTP11,No
ENSG00000185668,5453,POU3F1,No
ENSG00000116954,64121,RRAGC,No
ENSG00000214114,26292,MYCBP,No
ENSG00000274944,,RP5-864K19.6,No
ENSG00000131233,81025,GJA9,No
ENSG00000158315,54933,RHBDL2,No
ENSG00000174574,79647,AKIRIN1,No
ENSG00000168653,4725,NDUFS5,No
ENSG00000127603,23499,MACF1,No
ENSG00000183682,353500,BMP8A,No
ENSG00000090621,8761,PABPC4,No
ENSG00000163909,26508,HEYL,No
ENSG00000116981,84618,NT5C1A,No
ENSG00000116983,51440,HPCAL4,No
ENSG00000084072,10450,PPIE,No
ENSG00000116985,656,BMP8B,No
ENSG00000198754,64064,OXCT2,No
ENSG00000043514,54802,TRIT1,No
ENSG00000116990,4610,MYCL,No
ENSG00000168389,84879,MFSD2A,No
ENSG00000131236,10487,CAP1,No
ENSG00000131238,5538,PPT1,No
ENSG00000117000,6018,RLF,No
ENSG00000188800,127391,TMCO2,No
ENSG00000084073,10269,ZMPSTE24,No
ENSG00000049089,1298,COL9A2,No
ENSG00000084070,64744,SMAP2,No
ENSG00000187801,65243,ZFP69B,No
ENSG00000187815,339559,ZFP69,No
ENSG00000164002,64789,EXO5,No
ENSG00000117010,127396,ZNF684,No
ENSG00000117016,9783,RIMS3,No
ENSG00000066136,4802,NFYC,No
ENSG00000117013,9132,KCNQ4,No
ENSG00000179862,163732,CITED4,No
ENSG00000171793,1503,CTPS1,No
ENSG00000171790,200172,SLFNL1,No
ENSG00000010803,22955,SCMH1,No
ENSG00000204060,100132074,FOXO6,No
ENSG00000127129,1907,EDN2,No
ENSG00000127124,59269,HIVEP3,No
ENSG00000284895,,RP11-486B10.5,No
ENSG00000044012,2981,GUCA2B,No
ENSG00000197273,2980,GUCA2A,No
ENSG00000198815,22887,FOXJ3,No
ENSG00000177181,284716,RIMKLA,No
ENSG00000066185,84217,ZMYND12,No
ENSG00000127125,79717,PPCS,No
ENSG00000186409,728621,CCDC30,No
ENSG00000171960,10465,PPIH,No
ENSG00000065978,4904,YBX1,No
ENSG00000164007,149461,CLDN19,No
ENSG00000117385,64175,P3H1,No
ENSG00000164008,79078,C1orf50,No
ENSG00000283580,,RP5-994D16.12,No
ENSG00000274386,100129924,TMEM269,No
ENSG00000177868,374969,SVBP,No
ENSG00000164010,114625,ERMAP,No
ENSG00000164011,51058,ZNF691,No
ENSG00000117394,6513,SLC2A1,Yes
ENSG00000186973,440585,FAM183A,No
ENSG00000117395,10969,EBNA1BP2,No
ENSG00000243710,149465,CFAP57,No
ENSG00000179178,128218,TMEM125,No
ENSG00000253313,149466,C1orf210,No
ENSG00000066056,7075,TIE1,No
ENSG00000117400,4352,MPL,No
ENSG00000117399,991,CDC20,No
ENSG00000066322,64834,ELOVL1,No
ENSG00000159479,112950,MED8,No
ENSG00000198198,23334,SZT2,No
ENSG00000178922,81888,HYI,No
ENSG00000142949,5792,PTPRF,No
ENSG00000066135,9682,KDM4A,No
ENSG00000284989,,RP11-7O11.7,No
ENSG00000126091,6487,ST3GAL3,Yes
ENSG00000117407,9048,ARTN,No
ENSG00000117408,9670,IPO13,No
ENSG00000132768,1802,DPH2,No
ENSG00000117410,533,ATP6V0B,No
ENSG00000117411,8704,B4GALT2,Yes
ENSG00000159214,149473,CCDC24,No
ENSG00000196517,6536,SLC6A9,No
ENSG00000171872,128209,KLF17,No
ENSG00000283039,105378952,KLF18,No
ENSG00000178028,55929,DMAP1,No
ENSG00000117419,79033,ERI3,No
ENSG00000187147,55182,RNF220,No
ENSG00000126106,79639,TMEM53,No
ENSG00000198520,339541,ARMH1,No
ENSG00000142945,11004,KIF2C,No
ENSG00000142937,6202,RPS8,No
ENSG00000142959,266675,BEST4,No
ENSG00000173846,1263,PLK3,No
ENSG00000188396,343521,DYNLT4,No
ENSG00000222009,149478,BTBD19,No
ENSG00000117425,8643,PTCH2,No
ENSG00000070785,8891,EIF2B3,No
ENSG00000126107,79654,HECTD3,No
ENSG00000126088,7389,UROD,No
ENSG00000162415,57643,ZSWIM5,No
ENSG00000186603,84842,HPDL,No
ENSG00000132781,4595,MUTYH,No
ENSG00000132773,114034,TOE1,No
ENSG00000070759,10420,TESK2,No
ENSG00000280670,126661,CCDC163,No
ENSG00000132763,25974,MMACHC,No
ENSG00000117450,5052,PRDX1,No
ENSG00000117448,10327,AKR1A1,No
ENSG00000132780,4678,NASP,No
ENSG00000159588,149483,CCDC17,No
ENSG00000159592,60313,GPBP1L1,No
ENSG00000159596,51249,TMEM69,No
ENSG00000197429,3652,IPP,No
ENSG00000086015,23139,MAST2,No
ENSG00000117461,8503,PIK3R3,No
ENSG00000278139,110117499,P3R3URF-PIK3R3,No
ENSG00000117472,10103,TSPAN1,No
ENSG00000250719,110117498,P3R3URF,No
ENSG00000085998,55624,POMGNT1,Yes
ENSG00000171357,541468,LURAP1,No
ENSG00000085999,8438,RAD54L,No
ENSG00000132128,10489,LRRC41,No
ENSG00000173660,7388,UQCRH,No
ENSG00000117481,387338,NSUN4,No
ENSG00000117480,2166,FAAH,No
ENSG00000197587,127343,DMBX1,No
ENSG00000282881,105378696,TMEM275,No
ENSG00000162456,148930,KNCN,No
ENSG00000079277,8569,MKNK1,No
ENSG00000142961,148932,MOB3C,No
ENSG00000123472,64756,ATPAF1,No
ENSG00000186118,374973,TEX38,No
ENSG00000159658,9813,EFCAB14,No
ENSG00000142973,1580,CYP4B1,No
ENSG00000187048,1579,CYP4A11,No
ENSG00000186377,260293,CYP4X1,No
ENSG00000186160,199974,CYP4Z1,No
ENSG00000162365,284541,CYP4A22,No
ENSG00000162366,10158,PDZK1IP1,No
ENSG00000162367,6886,TAL1,No
ENSG00000123473,6491,STIL,No
ENSG00000162368,51727,CMPK1,No
ENSG00000186790,2301,FOXE3,No
ENSG00000186564,2306,FOXD2,No
ENSG00000269113,388630,TRABD2B,No
ENSG00000117834,200010,SLC5A9,No
ENSG00000132122,54558,SPATA6,No
ENSG00000186094,84871,AGBL4,No
ENSG00000162373,79656,BEND5,No
ENSG00000162374,1996,ELAVL4,No
ENSG00000142700,63950,DMRTA2,No
ENSG00000185104,11124,FAF1,No
ENSG00000123080,1031,CDKN2C,No
ENSG00000204006,284546,C1orf185,No
ENSG00000123091,26994,RNF11,No
ENSG00000085831,22996,TTC39A,No
ENSG00000085832,2060,EPS15,No
ENSG00000117859,114883,OSBPL9,No
ENSG00000078618,4898,NRDC,No
ENSG00000169213,5865,RAB3B,No
ENSG00000117862,51060,TXNDC12,No
ENSG00000285839,,RP11-91A18.6,No
ENSG00000198841,112970,KTI12,No
ENSG00000134717,91408,BTF3L4,No
ENSG00000157077,9372,ZFYVE9,No
ENSG00000154222,200014,CC2D1B,No
ENSG00000085840,4998,ORC1,No
ENSG00000134748,84950,PRPF38A,No
ENSG00000134744,23318,TUT4,No
ENSG00000116157,2882,GPX7,No
ENSG00000182183,348378,SHISAL2A,No
ENSG00000162377,65260,COA7,No
ENSG00000162378,79699,ZYG11B,No
